,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,year,month,day
58,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,0.4526112185686654,0.6150068051363986,2014,8,27
59,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,0.3191489361702127,0.4669507071424344,2015,2,23
61,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,0.12959381044487428,0.47925912775903895,2014,8,28
62,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,0.3636363636363636,0.5236404520977573,2014,10,21
63,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,0.18568665377176014,0.14432806674951182,2014,12,7
64,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,0.15860735009671179,0.2029114148766199,2014,6,3
65,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,0.15860735009671179,0.19817740694715663,2014,11,20
66,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,0.4119922630560928,0.6153026806319901,2014,9,9
67,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,0.3096711798839458,0.23113793715604475,2014,10,9
68,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,0.07543520309477757,0.7091543878335996,2014,8,25
71,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,0.19729206963249513,0.24226285579028345,2015,1,5
72,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,0.17214700193423593,0.42345700929049057,2014,6,10
73,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,0.3481624758220503,0.25735250606544763,2014,7,10
76,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,0.2050290135396518,0.40529025386117523,2014,10,13
77,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,0.05222437137330753,0.2609030120125451,2015,4,20
78,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,0.09864603481624758,0.29836084975442334,2014,6,9
80,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,0.3346228239845261,0.2788330670453873,2014,12,2
81,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,0.241779497098646,0.34049352032664654,2014,12,22
82,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,0.21276595744680848,0.3591336765489082,2014,10,28
83,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,0.23791102514506768,0.4820403574175987,2015,1,28
84,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,0.18375241779497098,0.38771524942304275,2014,6,2
85,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,0.27079303675048355,0.24551748624178943,2014,11,14
86,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,0.1876208897485493,0.4446416947748387,2014,11,3
87,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,0.2475822050290135,0.39635481389431326,2014,6,18
88,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,0.25725338491295935,0.08130658618853187,2014,5,19
89,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,0.0793036750483559,0.02692467009882242,2014,9,4
90,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,0.26305609284332687,0.4058820048523581,2014,5,22
91,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,0.36750483558994196,0.3313213799633114,2015,3,11
92,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,0.14119922630560927,0.5828155512160483,2015,2,26
93,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,0.18375241779497098,0.22776495650630213,2014,7,25
94,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,0.18375241779497098,0.22776495650630213,2014,12,23
95,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,0.25725338491295935,0.31919048464406174,2014,9,8
96,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,0.218568665377176,0.8855553583052252,2015,3,30
97,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,0.10444874274661507,0.3401976448310551,2014,9,12
100,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,0.3056092843326886,0.22776495650630213,2014,6,11
101,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,0.19148936170212766,0.16728800520740872,2014,10,27
103,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,0.33849129593810445,0.4415645896206876,2014,10,7
104,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,0.19729206963249513,0.8437777383277117,2014,9,24
105,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,0.3152804642166344,0.44446416947748385,2015,4,2
106,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,0.11992263056092843,0.1984732824427481,2014,5,23
107,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,0.1257253384912959,0.25534055269542577,2014,7,23
109,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,0.3636363636363636,0.5196757204568319,2014,8,27
110,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,0,0.2553191489361702,0.5316882655778449,2014,7,25
111,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0,0.1470019342359768,0.17072016095626963,2015,3,4
112,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,0.17794970986460346,0.6512219657967928,2014,9,16
113,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,0.2843326885880077,0.2869400556245932,2014,11,24
114,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,0,0.39071566731141194,0.4654713296644772,2014,10,28
115,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,1999,0.23404255319148937,0.33723888987514056,2014,11,21
116,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0,0.19342359767891681,0.14882537428250192,2014,6,26
117,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,0.1102514506769826,0.36268418249600565,2014,6,23
118,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,0.2437137330754352,0.4940529025386117,2015,1,8
119,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,0.19148936170212766,0.2005444109118883,2015,5,11
120,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,0.33268858800773693,0.6038818865021599,2015,1,2
121,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,0.18568665377176014,0.5002071128469141,2014,11,19
122,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,0.21083172147001933,0.3165276051837387,2015,4,6
123,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,0.23791102514506768,0.22184744659447303,2014,11,4
124,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,0.402321083172147,0.7894549973371205,2014,6,18
125,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,0.47195357833655704,0.6286762530327239,2015,3,2
126,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,0.39458413926499025,0.477010473992544,2014,7,17
127,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,0,0.2843326885880077,0.45854784306763713,2014,7,17
128,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,0,0.20889748549323017,0.254985502100716,2014,6,13
129,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,0,0.2611218568665377,0.18326528196934733,2015,4,6
130,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,0.15473887814313342,0.4159417717024676,2015,1,5
131,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0,0.27852998065764023,0.5409787561394166,2015,4,28
133,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,0,0.20696324951644096,0.05982602520859223,2014,5,12
134,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0,0.17794970986460346,0.09669211195928752,2015,1,26
136,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,0.218568665377176,0.44316231729688144,2014,8,5
137,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,0,0.1798839458413926,0.5790283448724777,2014,5,29
138,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,0.0851063829787234,0.29966270193502575,2014,7,7
139,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,0,0.14119922630560927,0.038996390318953786,2014,5,7
140,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,0,0.10638297872340426,0.17450736729984023,2014,6,27
141,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,0.42553191489361697,0.516243564707971,2014,7,8
142,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,0.19148936170212766,0.46914018580981126,2015,5,8
143,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,0.18181818181818182,0.43132729747322324,2015,4,15
144,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0,0.31141199226305605,0.4836380850937925,2015,2,27
146,890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,0,0.3056092843326886,0.19817740694715663,2014,6,25
149,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1947,0,0.16054158607350094,0.23362329131901294,2014,11,4
150,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,0,0.17021276595744678,0.14432806674951182,2014,8,20
151,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,0,0.15473887814313342,0.25735250606544763,2015,4,9
152,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,0,0.2050290135396518,0.4723356411621989,2015,3,31
153,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,2006,0,0.4912959381044487,0.5384342268773301,2015,4,1
154,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0,0.07543520309477757,0.26327001597727673,2014,5,16
155,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,0.1102514506769826,0.4152908456121664,2014,7,28
156,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,0,0.39071566731141194,0.7706964909166223,2014,11,20
157,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,0,0.26305609284332687,0.42748091603053434,2014,8,7
158,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,0.10444874274661507,0.3874193739274513,2014,11,13
159,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0,0.21470019342359764,0.6230546186164863,2014,10,3
160,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0,0.07543520309477757,0.6526421681756317,2014,5,7
161,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0,0.11218568665377175,0.5331084679566839,2015,3,9
162,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,0,0.5377176015473888,0.7071424344635778,2015,3,4
163,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,0,0.21083172147001933,0.44387241848630093,2014,6,20
165,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,0,0.19729206963249513,0.40529025386117523,2014,12,8
166,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,0,0.23404255319148937,0.5384342268773301,2015,2,19
167,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0,0.44487427466150864,0.22776495650630213,2015,3,24
168,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,0,0.3597678916827853,0.47925912775903895,2014,6,5
169,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,0,0.22243713733075432,0.39274513284809753,2014,6,11
170,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,0,0.08704061895551256,0.43014379549085746,2015,3,16
171,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,0,0.25338491295938104,0.39641398899343155,2015,1,2
172,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,0.16634429400386846,0.43132729747322324,2014,5,2
174,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0,0.31721470019342357,0.45470146162494823,2014,9,29
175,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0,0.1876208897485493,0.06769631339132494,2015,2,10
176,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,0,0.12765957446808512,0.08870347357831825,2014,7,9
177,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,0,0.11218568665377175,0.24551748624178943,2014,5,30
178,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0,0.25725338491295935,0.4905615716906326,2014,11,17
179,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,0,0.17794970986460346,0.4514468311734422,2015,1,7
180,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,0,0.20309477756286265,0.3273566483223859,2014,7,25
181,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,0,0.15280464216634426,0.2795431682348068,2015,4,14
182,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,1961,0,0.3230174081237911,0.5295579620095864,2014,6,13
183,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,0,0.08317214700193425,0.163678324161193,2014,7,23
184,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0,0.31721470019342357,0.5522812000710101,2014,9,5
185,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,1986,0,0.37137330754352027,0.5692052784188414,2014,11,21
186,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,0,0.3036750483558994,0.4887271436179656,2015,4,15
187,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,0,0.2727272727272727,0.4789040771643292,2014,5,5
188,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1901,0,0.1373307543520309,0.22184744659447303,2015,4,18
189,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,0,0.31141199226305605,0.5141724362388308,2014,12,5
190,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1977,0,0.17794970986460346,0.45854784306763713,2014,8,18
191,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,0,0.11798839458413928,0.4336943014379549,2014,11,5
192,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0,0.3984526112185687,0.5581395348837209,2014,9,12
193,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,0,0.2475822050290135,0.4241079353807918,2014,6,25
194,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,0,0.18375241779497098,0.5667199242558731,2014,12,1
195,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,0,0.3733075435203095,0.2574116811645659,2014,5,15
196,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,0,0.17021276595744678,0.34493165276051835,2014,11,11
197,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,2007,0,0.218568665377176,0.10260962187111665,2014,7,23
200,210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0,1943,0,0.13152804642166344,0.5244689034854134,2015,3,11
201,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,0,0.2727272727272727,0.5798567962601338,2014,11,12
202,470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,0,0.2050290135396518,0.25735250606544763,2014,7,16
203,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,0.15667311411992263,0.40529025386117523,2014,8,4
204,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,1962,0,0.1508704061895551,0.43724480738505234,2015,3,3
205,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,1966,0,0.41586073500967113,0.5972542754009114,2014,8,4
206,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,0,0.4119922630560928,0.23291319012959344,2014,9,19
207,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1915,0,0.12959381044487428,0.25735250606544763,2015,2,5
208,180250.0,2,0.75,900,9600,1.0,0,0,3,6,900,0,1941,0,0.12185686653771759,0.8064974258831884,2014,11,23
209,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1920,1994,0.18181818181818182,0.03911474051719037,2014,7,17
210,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,1993,0,0.19535783365570597,0.3400201195337002,2015,4,22
211,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,2014,0,0.10444874274661507,0.04000236700396473,2014,7,17
212,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,1983,0,0.36750483558994196,0.693354636369016,2014,5,15
214,477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,1978,0,0.2920696324951644,0.4763003728031245,2014,5,27
215,280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0,1923,0,0.09284332688588008,0.8170897686253625,2015,1,15
217,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,2000,0,0.13539651837524175,0.28043079472158117,2014,7,3
218,1072000.0,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,1947,0,0.37911025145067695,0.2682407243032132,2014,8,28
219,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,1947,0,0.2901353965183752,0.6739452038582165,2014,10,23
220,686000.0,4,2.5,2760,6440,2.0,0,0,3,10,2760,0,1999,0,0.47388781431334626,0.4423930410083437,2014,8,22
221,279950.0,3,2.0,1750,9750,1.0,0,0,3,7,1350,400,1961,0,0.2475822050290135,0.5606248890466892,2014,6,5
222,527000.0,4,2.25,2330,19436,2.0,0,0,3,8,2330,0,1987,0,0.24951644100580267,0.5564826321084089,2014,9,4
223,325000.0,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,1966,0,0.28239845261121854,0.5285519853245755,2014,9,18
224,328000.0,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,1994,0,0.27079303675048355,0.43671223149298777,2014,9,3
225,390000.0,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,1942,0,0.12765957446808512,0.3988993431563998,2014,6,4
226,479950.0,2,2.0,1510,6516,1.0,0,0,3,8,1510,0,2005,0,0.19729206963249513,0.3170601810758033,2015,3,9
227,264950.0,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,1978,0,0.17214700193423593,0.5386117521746849,2014,5,29
228,235000.0,3,1.0,1430,15246,1.0,0,0,4,7,980,450,1961,0,0.2591876208897485,0.7347772057518197,2015,1,15
229,516500.0,3,2.5,1480,4729,2.0,0,0,3,7,1480,0,2004,0,0.3152804642166344,0.24131605420439078,2015,3,3
230,655000.0,2,1.75,1450,15798,2.0,1,4,3,7,1230,220,1915,1978,0.2727272727272727,0.7421740931416061,2015,4,13
231,500000.0,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,1960,0,0.32108317214700194,0.8696372566424049,2014,6,16
232,315000.0,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,1978,0,0.2901353965183752,0.4488431268122374,2014,11,21
233,213000.0,2,1.0,1000,10200,1.0,0,0,3,6,1000,0,1961,0,0.10251450676982592,0.7722942185928162,2014,11,20
